; Start Marseille - (LFMM) - Regions
;LFMM_Water
REGIONNAME Marseille Waters
smrWater N041.17.40.840 E007.01.32.494
N041.48.43.965 E008.44.15.517
N041.48.52.009 E008.44.22.700
N041.48.52.018 E008.44.44.272
N041.48.52.024 E008.45.05.844
N041.48.52.029 E008.45.23.821
N041.48.52.034 E008.45.45.393
N041.48.57.397 E008.46.03.368
N041.49.05.440 E008.46.14.150
N041.49.16.162 E008.46.24.932
N041.49.26.884 E008.46.28.523
N041.49.40.285 E008.46.24.920
N041.49.51.005 E008.46.21.319
N041.49.59.044 E008.46.06.929
N041.49.59.042 E008.45.56.140
N041.49.59.038 E008.45.34.562
N041.50.07.074 E008.45.16.575
N041.50.12.431 E008.45.05.782
N041.50.23.150 E008.45.02.178
N041.50.36.549 E008.45.02.167
N041.50.44.589 E008.45.02.161
N041.50.52.632 E008.45.12.946
N041.50.57.997 E008.45.34.525
N041.50.58.001 E008.45.52.510
N041.50.58.003 E008.46.06.899
N041.50.58.005 E008.46.28.482
N041.50.58.006 E008.46.46.468
N041.50.58.007 E008.47.00.857
N041.51.06.046 E008.47.11.647
N041.51.19.445 E008.47.11.644
N041.51.30.164 E008.47.11.641
N041.51.40.883 E008.47.11.639
N041.51.54.281 E008.47.04.439
N041.52.05.000 E008.46.57.240
N041.52.13.038 E008.46.53.639
N041.52.23.756 E008.46.46.439
N041.52.39.832 E008.46.32.040
N041.52.50.549 E008.46.32.036
N041.53.01.267 E008.46.32.032
N041.53.11.986 E008.46.42.826
N041.53.17.345 E008.46.53.622
N041.53.20.025 E008.47.08.018
N041.53.25.384 E008.47.22.415
N041.53.30.742 E008.47.40.412
N041.53.38.780 E008.47.47.611
N041.53.49.497 E008.47.47.611
N041.54.00.215 E008.47.44.011
N041.54.13.612 E008.47.40.410
N041.54.24.329 E008.47.36.810
N041.54.37.726 E008.47.18.806
N041.54.45.763 E008.47.15.205
N041.54.53.801 E008.47.08.002
N041.55.07.197 E008.47.00.798
N041.55.17.913 E008.46.53.594
N041.55.25.950 E008.46.46.390
N041.55.25.947 E008.46.24.783
N041.55.25.944 E008.46.10.379
