AVLON N047.33.36.000 E003.48.47.999
AY411 N049.52.45.300 E002.22.03.202
AZ35B N043.25.12.270 E007.57.20.311
AZR28 N043.16.45.440 E007.35.45.010
AZR29 N043.18.05.152 E007.38.06.770
AZR35 N043.25.03.209 E007.57.14.911
AZR40 N043.14.16.411 E007.55.59.531
AZR40 N043.17.38.371 E007.59.24.079
AZR47 N043.14.27.290 E008.07.59.790
AZR47 N043.18.43.880 E008.11.19.640
BA306 N044.10.30.799 E000.51.49.500
BA308 N044.02.11.299 E000.47.04.700
BA310 N044.12.06.700 E000.29.52.400
BA312 N044.13.35.602 E000.38.41.701
BABAT N046.54.57.701 W002.37.27.001
BABED N043.18.54.000 E008.36.01.001
BABOG N047.30.51.001 E001.22.09.901
BADAM N044.05.11.000 E003.10.14.002
BADBA N043.59.24.000 E007.39.47.999
BADET N043.27.51.001 E004.29.44.999
BADGI N049.50.26.002 E002.40.53.602
BADOD N044.12.49.298 E006.31.43.601
BADPO N043.39.33.098 E007.34.07.702
BADRU N043.44.11.299 W002.47.47.602
BADUR N048.42.38.999 W002.57.04.000
BAGAD N047.34.59.999 W002.52.52.000
BAGAP N045.44.17.999 E005.55.45.001
BAGBI N046.48.51.998 E004.35.48.001
BAGEK N049.30.11.300 W000.15.37.001
BAGIB N046.31.07.000 W002.09.45.400
BAGRO N043.12.35.399 W000.05.50.201
BAGSU N041.29.53.002 E009.13.31.001
BAKIX N048.20.13.200 E007.03.10.400
BAKNO N046.30.00.000 E003.31.53.000
BAKTA N043.50.12.001 W001.06.10.001
BAKUL N047.20.48.998 W001.38.17.002
BAKUP N044.24.45.000 W004.26.10.000
BALAN N046.30.58.000 E001.01.59.999
BALDA N044.36.34.999 W005.33.11.002
BALEN N040.56.48.001 E005.41.24.000
BALIR N047.18.29.902 E007.16.53.501
BALIV N047.40.12.500 E001.30.41.699
BALMO N042.25.00.001 E004.35.07.001
BALMU N047.50.48.001 E004.38.22.999
BALNI N047.37.05.002 W001.40.26.000
BALRU N043.28.47.100 E003.42.35.100
BALSI N045.28.38.600 E005.57.38.801
BAMDI N042.46.34.500 E008.47.30.401
BAMES N048.58.31.001 E001.29.10.000
BAMEV N047.50.07.001 E007.23.06.000
BAMGO N042.52.56.100 E003.02.25.300
BANEK N045.46.36.998 E005.52.09.998
BANKO N045.49.12.000 E007.03.16.999
BANOX N048.34.27.098 E001.30.19.800
BANTI N049.55.27.001 E001.37.34.000
BANUS N045.19.46.600 E004.28.38.100
BANVI N045.51.14.000 E003.53.21.998
BARAN N045.45.19.001 E005.12.20.999
BARAT N043.00.15.599 E005.02.28.702
BARAX N047.32.28.799 E001.32.19.100
BAREV N047.58.03.000 W003.38.16.001
BARIL N042.29.57.998 E009.19.30.000
BARLI N050.25.35.000 E002.46.14.999
BARSO N044.08.37.000 E006.53.25.001
BASIK N048.57.13.000 W002.57.04.000
BASIP N043.53.31.999 E007.57.42.001
BASLI N044.06.52.999 E002.59.15.000
BASTO N043.55.18.401 W000.11.44.300
BASUD N047.22.18.300 E007.37.28.499
BASVA N047.41.54.701 W004.25.23.700
BATAG N048.49.22.102 E003.22.20.201
BATEX N043.40.10.999 E005.43.10.999
BATIV N042.07.26.000 E006.24.37.001
BAVOL N049.06.20.002 E003.39.42.001
BAVON N040.15.58.000 E006.03.22.000
BAXIR N048.47.26.002 E003.52.12.000
BAZOS N049.30.55.300 E001.55.31.199
BC402 N044.38.20.501 W001.06.50.800
BC403 N044.41.39.001 W000.59.50.100
BC406 N044.27.25.801 W001.17.15.101
BC407 N044.33.29.300 W001.17.04.898
BC408 N044.30.11.002 W001.24.04.900
BC411 N044.36.05.299 W000.58.56.100
BC420 N044.37.47.701 W001.05.28.298
BC421 N044.40.00.098 W001.00.47.902
BC424 N044.29.38.900 W001.12.36.101
BC425 N044.32.56.000 W001.15.44.899
BC426 N044.30.43.801 W001.20.24.900
BC429 N044.34.26.299 W001.02.26.401
BD001 N045.16.36.098 W000.01.20.100
BD002 N045.10.06.802 W000.13.54.001
BD011 N045.28.36.800 W000.16.54.199
BD01V N044.48.47.599 W000.52.28.898
BD02V N044.46.40.199 W000.47.16.001
BD050 N044.51.17.701 W000.40.39.698
BD051 N044.47.43.001 W000.58.05.401
BD052 N044.39.37.400 W000.47.18.398
BD053 N044.50.36.600 W000.57.15.098
BD054 N044.39.05.198 W000.40.44.602
BD055 N044.55.00.001 W000.51.29.999
BD056 N044.42.00.698 W000.36.54.601
BD057 N045.07.00.001 W000.35.30.001
BD058 N044.53.41.701 W000.21.31.900
BD110 N044.49.18.998 W000.41.00.301
BD111 N044.56.55.799 W000.54.02.999
BD112 N044.41.49.999 W000.43.17.000
BD113 N044.54.46.699 W000.27.48.499
BD114 N044.29.39.998 W000.41.21.998
BD230 N044.47.26.599 W000.46.10.301
BD231 N045.05.13.700 W000.37.26.198
BD232 N044.53.41.701 W000.21.31.900
BD290 N044.50.06.202 W000.44.45.301
BD291 N044.51.08.201 W000.22.18.700
BD292 N044.39.54.299 W000.25.48.799
BD510 N044.51.17.701 W000.40.39.698
BD923 N044.55.56.302 W000.49.15.802
BD927 N045.07.00.998 W000.49.44.501
BD929 N044.41.48.502 W000.43.35.602
BD933 N044.41.41.399 W000.39.56.999
BD935 N044.41.29.501 W000.33.59.000
BD937 N044.40.19.999 W000.45.50.000
BD955 N045.03.11.200 W000.33.19.501
BD961 N044.49.55.801 W000.26.35.801
BD963 N044.43.21.101 W000.19.02.399
BE091 N044.56.07.300 E000.17.07.199
BE092 N044.44.14.798 E000.16.18.300
BE094 N044.43.51.701 E000.23.17.902
BE270 N044.48.07.200 E000.55.21.900
BE271 N044.52.53.299 E000.52.11.701
BE272 N044.43.38.399 E000.50.31.898
BE274 N044.43.39.000 E000.43.32.099
BE276 N044.49.41.999 E000.26.52.199
BEBEV N042.13.00.998 E008.26.44.002
BEBIX N045.56.57.001 E001.23.58.999
BEDVA N048.06.52.402 E003.54.01.400
BEGAR N047.54.29.999 E007.34.59.999
BEGUY N043.03.29.999 W001.27.02.999
BEKOS N048.48.42.001 E003.32.53.002
BEKRI N046.08.38.602 E004.25.41.599
BELDI N049.57.20.002 E002.35.03.998
BELEN N043.54.51.001 W002.44.19.100
BELEP N045.47.30.001 E004.07.54.001
BELOB N050.42.33.998 E003.12.51.998
BELPA N044.59.31.999 E001.56.43.001
BELUS N045.40.31.001 E005.35.38.000
BELVU N045.57.09.000 E004.02.42.000
BEMAX N046.09.56.002 W000.45.34.999
BENAR N048.15.11.002 E000.44.39.998
BENIX N049.32.48.001 W001.29.24.000
BEPER N044.38.17.002 E005.12.54.000
BEPMI N046.09.07.999 E002.30.00.000
BERAD N048.18.06.998 W004.03.42.001
BERNO N049.04.59.999 E000.37.59.999
BERUG N048.37.17.000 E006.55.54.800
BETOB N046.34.48.000 W000.15.00.000
BETOV N049.40.13.199 E001.13.54.901
BETUV N048.57.15.998 W003.07.19.999
BEVAV N049.04.00.998 W001.41.26.002
BEVEN N045.41.19.000 E005.58.22.001
BEVOL N047.00.42.998 E000.55.50.999
BEVTO N044.28.54.300 E002.20.15.799
BF110 N043.32.06.202 E001.23.55.601
BF112 N043.32.05.399 E001.17.44.401
BF302 N043.23.43.598 E001.29.18.301
BF304 N043.24.00.799 E001.34.46.700
BF310 N043.35.53.700 E001.12.39.398
BG401 N045.50.40.499 W000.10.40.001
BG402 N045.46.51.802 W000.06.02.401
BG403 N045.43.03.101 W000.01.25.399
BG404 N045.43.38.201 W000.11.29.699
BG405 N045.36.26.399 W000.23.35.902
BG406 N045.40.14.999 W000.28.12.601
BG407 N045.35.01.500 W000.32.33.698
BG408 N045.32.44.200 W000.29.47.900
BG409 N045.34.56.201 W000.26.06.799
BG410 N045.41.51.698 W000.14.29.101
BG411 N045.45.26.600 W000.18.49.601
BH501 N046.06.50.602 W000.58.18.998
BH505 N046.06.43.261 W000.54.27.569
BH508 N046.10.26.101 W001.01.13.300
BH512 N046.11.05.701 W001.23.40.898
BH514 N046.20.12.599 W001.27.50.800
BI031 N046.33.48.499 E000.30.01.001
BI032 N046.34.55.898 E000.04.38.302
BI033 N046.22.52.900 E000.14.33.500
BI034 N046.26.54.802 E000.04.39.202
BI210 N046.55.01.200 E000.35.49.700
BI211 N046.38.21.502 E000.31.09.599
BI212 N046.49.39.500 E000.20.40.700
BI213 N046.41.53.498 E000.36.17.600
BI214 N046.38.47.602 E000.06.11.498
BI215 N046.47.08.999 E000.34.23.401
BI220 N046.33.17.399 E000.16.43.799
BI430 N046.40.10.301 E000.22.38.500
BI431 N046.39.45.900 E000.30.00.000
BI434 N046.42.58.900 E000.11.45.600
BI520 N046.31.34.201 E000.15.15.502
BI521 N046.31.23.200 E000.32.20.602
BI524 N046.32.24.101 E000.05.11.501
BIBA1 N049.51.11.002 E001.00.47.002
BIBA2 N049.47.02.000 E000.52.05.002
BIBA3 N049.39.18.000 E000.42.22.000
BIBA4 N049.30.13.000 E000.35.57.001
BIBA5 N049.20.22.999 E000.33.13.000
BIBAX N050.03.27.000 E001.00.29.002
BIBDO N044.09.05.000 E001.57.55.001
BIBOT N046.45.05.000 E006.24.37.001
BIDAC N043.25.02.399 W001.08.08.401
BILGO N049.54.06.998 E003.26.49.999
BINTO N043.06.12.899 E005.19.39.799
BIRGO N043.23.30.001 E006.07.10.999
